# Program:featureCounts v2.0.1; Command:"featureCounts" "--verbose" "-a" "./PROKKA_06012021.gtf" "-t" "CDS" "-o" "final_featureCounts.txt" "./sorted_bam/AA24-1.sorted.bam" "./sorted_bam/AA24-2.sorted.bam" "./sorted_bam/AA24-3.sorted.bam" "./sorted_bam/AA3-1.sorted.bam" "./sorted_bam/AA3-2.sorted.bam" "./sorted_bam/AA3-3.sorted.bam" "./sorted_bam/AA72-1.sorted.bam" "./sorted_bam/AA72-2.sorted.bam" "./sorted_bam/AA72-3.sorted.bam" "./sorted_bam/AAF24-1.sorted.bam" "./sorted_bam/AAF24-2.sorted.bam" "./sorted_bam/AAF24-3.sorted.bam" "./sorted_bam/AAF3-1.sorted.bam" "./sorted_bam/AAF3-2.sorted.bam" "./sorted_bam/AAF3-3.sorted.bam" "./sorted_bam/AAF72-1.sorted.bam" "./sorted_bam/AAF72-2.sorted.bam" "./sorted_bam/AAF72-3.sorted.bam" "./sorted_bam/ABBL18TSB.sorted.bam" "./sorted_bam/ABGA24-1.sorted.bam" "./sorted_bam/ABGA24-2.sorted.bam" "./sorted_bam/ABGA24-3.sorted.bam" "./sorted_bam/ABGA3-1.sorted.bam" "./sorted_bam/ABGA3-2.sorted.bam" "./sorted_bam/ABGA3-3.sorted.bam" "./sorted_bam/ABGA72-1.sorted.bam" "./sorted_bam/ABGA72-2.sorted.bam" "./sorted_bam/ABGA72-3.sorted.bam" "./sorted_bam/ABGW24-1.sorted.bam" "./sorted_bam/ABGW24-2.sorted.bam" "./sorted_bam/ABGW24-3.sorted.bam" "./sorted_bam/ABGW3-1.sorted.bam" "./sorted_bam/ABGW3-2.sorted.bam" "./sorted_bam/ABGW3-3.sorted.bam" "./sorted_bam/ABGW72-1.sorted.bam" "./sorted_bam/ABGW72-2.sorted.bam" "./sorted_bam/ABGW72-3.sorted.bam" "./sorted_bam/AVEG24-1.sorted.bam" "./sorted_bam/AVEG24-2.sorted.bam" "./sorted_bam/AVEG24-3.sorted.bam" "./sorted_bam/AVEG3-1.sorted.bam" "./sorted_bam/AVEG3-2.sorted.bam" "./sorted_bam/AVEG3-3.sorted.bam" "./sorted_bam/AVEG72-1.sorted.bam" "./sorted_bam/AVEG72-2.sorted.bam" "./sorted_bam/AVEG72-3.sorted.bam" "./sorted_bam/AW24-1.sorted.bam" "./sorted_bam/AW24-2.sorted.bam" "./sorted_bam/AW24-3.sorted.bam" "./sorted_bam/AW3-1.sorted.bam" "./sorted_bam/AW3-2.sorted.bam" "./sorted_bam/AW3-3.sorted.bam" "./sorted_bam/AW72-1.sorted.bam" "./sorted_bam/AW72-2.sorted.bam" "./sorted_bam/AW72-3.sorted.bam" "-F" "GTF" "-g" "gene_id" 
Geneid	Chr	Start	End	Strand	Length	./sorted_bam/AA24-1.sorted.bam	./sorted_bam/AA24-2.sorted.bam	./sorted_bam/AA24-3.sorted.bam	./sorted_bam/AA3-1.sorted.bam	./sorted_bam/AA3-2.sorted.bam	./sorted_bam/AA3-3.sorted.bam	./sorted_bam/AA72-1.sorted.bam	./sorted_bam/AA72-2.sorted.bam	./sorted_bam/AA72-3.sorted.bam	./sorted_bam/AAF24-1.sorted.bam	./sorted_bam/AAF24-2.sorted.bam	./sorted_bam/AAF24-3.sorted.bam	./sorted_bam/AAF3-1.sorted.bam	./sorted_bam/AAF3-2.sorted.bam	./sorted_bam/AAF3-3.sorted.bam	./sorted_bam/AAF72-1.sorted.bam	./sorted_bam/AAF72-2.sorted.bam	./sorted_bam/AAF72-3.sorted.bam	./sorted_bam/ABBL18TSB.sorted.bam	./sorted_bam/ABGA24-1.sorted.bam	./sorted_bam/ABGA24-2.sorted.bam	./sorted_bam/ABGA24-3.sorted.bam	./sorted_bam/ABGA3-1.sorted.bam	./sorted_bam/ABGA3-2.sorted.bam	./sorted_bam/ABGA3-3.sorted.bam	./sorted_bam/ABGA72-1.sorted.bam	./sorted_bam/ABGA72-2.sorted.bam	./sorted_bam/ABGA72-3.sorted.bam	./sorted_bam/ABGW24-1.sorted.bam	./sorted_bam/ABGW24-2.sorted.bam	./sorted_bam/ABGW24-3.sorted.bam	./sorted_bam/ABGW3-1.sorted.bam	./sorted_bam/ABGW3-2.sorted.bam	./sorted_bam/ABGW3-3.sorted.bam	./sorted_bam/ABGW72-1.sorted.bam	./sorted_bam/ABGW72-2.sorted.bam	./sorted_bam/ABGW72-3.sorted.bam	./sorted_bam/AVEG24-1.sorted.bam	./sorted_bam/AVEG24-2.sorted.bam	./sorted_bam/AVEG24-3.sorted.bam	./sorted_bam/AVEG3-1.sorted.bam	./sorted_bam/AVEG3-2.sorted.bam	./sorted_bam/AVEG3-3.sorted.bam	./sorted_bam/AVEG72-1.sorted.bam	./sorted_bam/AVEG72-2.sorted.bam	./sorted_bam/AVEG72-3.sorted.bam	./sorted_bam/AW24-1.sorted.bam	./sorted_bam/AW24-2.sorted.bam	./sorted_bam/AW24-3.sorted.bam	./sorted_bam/AW3-1.sorted.bam	./sorted_bam/AW3-2.sorted.bam	./sorted_bam/AW3-3.sorted.bam	./sorted_bam/AW72-1.sorted.bam	./sorted_bam/AW72-2.sorted.bam	./sorted_bam/AW72-3.sorted.bam
LJGBIDFA_00688	NODE_4_length_216101_cov_42.781506	61215	62141	+	927	10	42	108	89	111	136	48	57	81	309	24	336	225	272	384	320	367	405	560	54	227	220	250	289	188	182	229	245	133	83	205	189	370	214	150	295	96	78	83	38	65	70	42	41	31	89	674	177	209	237	217	282	146	108	286
LJGBIDFA_00689	NODE_4_length_216101_cov_42.781506	62253	63446	+	1194	97	317	283	357	528	305	174	222	258	847	582	430	1073	1424	1367	1069	1396	1497	221	476	673	633	765	710	562	770	860	1220	593	340	567	637	907	822	667	900	503	323	223	155	599	369	182	158	154	354	2117	671	928	914	832	901	559	499	940
LJGBIDFA_00690	NODE_4_length_216101_cov_42.781506	63443	64381	+	939	102	369	273	401	334	363	118	216	293	761	677	440	1051	1292	1347	933	1239	1492	165	442	582	483	782	670	426	623	815	992	396	290	544	507	708	685	478	820	390	352	199	189	483	298	139	126	252	265	1576	605	657	806	669	654	504	403	791
LJGBIDFA_00691	NODE_4_length_216101_cov_42.781506	64495	65811	+	1317	82	247	244	232	222	330	149	119	212	782	422	508	455	999	1293	967	1040	1301	112	288	495	548	543	577	424	579	610	806	341	317	461	415	648	529	473	824	364	167	80	94	218	159	79	102	126	228	1182	361	475	558	422	467	349	304	582
LJGBIDFA_00692	NODE_4_length_216101_cov_42.781506	66210	67274	+	1065	1143	2742	2664	3313	2977	4072	1052	1841	2088	4212	3074	3062	6771	3910	3884	3483	3125	3150	2234	2695	2967	4046	4176	3088	2853	3262	3420	2828	3831	1510	4094	4512	3702	5593	2548	3816	4239	1650	1778	1825	2585	2007	1246	1656	1866	1575	3211	1147	1759	3169	3414	3421	828	706	1424
LJGBIDFA_00693	NODE_4_length_216101_cov_42.781506	67287	67859	+	573	479	1093	899	1471	1268	1383	397	859	869	1774	1529	1032	2595	2001	2215	1910	1895	1990	945	1358	1551	1698	1909	1392	1542	1627	1811	1734	1773	739	2073	1659	1797	2462	1254	1914	2041	965	1212	1082	1345	1266	827	836	967	887	2158	687	1134	1392	1742	1882	540	532	789
LJGBIDFA_00694	NODE_4_length_216101_cov_42.781506	68000	68284	-	285	133	178	227	233	316	274	105	179	337	478	393	327	518	463	886	610	626	603	336	338	315	295	385	447	189	355	405	514	239	88	266	274	470	334	193	249	191	165	229	228	352	312	181	111	212	146	1453	556	509	357	441	479	192	198	391
LJGBIDFA_00695	NODE_4_length_216101_cov_42.781506	68347	69009	-	663	639	859	1062	916	1000	912	622	1048	1439	1700	1286	947	1848	1549	3094	2245	2354	2432	991	1176	1566	1329	1294	1509	986	1293	1690	1811	920	570	890	1022	1469	1139	1060	1541	826	565	895	1078	868	790	419	490	982	570	5045	1617	2450	1825	1506	1887	954	952	2173
LJGBIDFA_00696	NODE_4_length_216101_cov_42.781506	69162	69764	+	603	282	304	351	343	264	231	253	471	442	1560	403	559	321	677	2253	1602	1438	1520	105	134	766	963	361	853	524	871	1194	1066	550	397	346	717	1377	658	901	1005	478	228	124	321	259	236	68	117	185	118	4474	1590	2157	834	469	1102	982	783	1830
LJGBIDFA_00697	NODE_4_length_216101_cov_42.781506	69733	70524	+	792	432	584	623	525	462	267	483	712	849	2377	635	985	479	1533	5262	2715	3131	3424	190	250	1616	1403	613	1415	700	1267	2238	2412	882	597	459	717	3119	844	1301	2250	1083	410	251	571	339	341	114	208	343	293	7178	2249	3747	1293	880	1740	1598	1466	3338
LJGBIDFA_00698	NODE_4_length_216101_cov_42.781506	70555	71487	+	933	281	415	439	560	461	358	387	558	692	1242	498	591	530	1145	3986	1958	2289	2702	154	180	1512	1033	592	964	459	972	1768	1917	627	389	374	517	2359	671	957	1737	788	415	266	468	401	370	138	183	311	375	5003	1584	2737	845	840	1352	1346	1137	2621
LJGBIDFA_00699	NODE_4_length_216101_cov_42.781506	71490	72527	+	1038	247	406	473	489	490	356	308	425	527	927	520	406	574	1104	3248	1423	1980	2335	227	260	1318	978	575	832	613	990	1574	1749	571	393	450	501	1829	739	858	1359	838	419	316	418	493	331	176	211	252	398	3407	1186	2288	882	736	1274	1105	818	2189
LJGBIDFA_00700	NODE_4_length_216101_cov_42.781506	72539	74008	+	1470	283	354	366	435	423	326	276	353	506	997	428	466	548	1317	3756	1721	2356	2825	248	249	1474	1065	783	1021	647	1024	1570	1727	651	444	401	498	2107	850	992	1714	911	536	265	430	450	362	140	224	219	434	3024	1075	1747	820	814	1183	1128	677	1686
LJGBIDFA_00701	NODE_4_length_216101_cov_42.781506	74314	75720	+	1407	23	63	69	86	102	146	58	80	58	325	43	199	176	312	1009	413	572	698	39	14	240	275	199	224	154	181	296	384	142	49	212	212	498	240	199	472	240	68	60	64	163	105	49	41	40	88	854	155	330	160	171	230	257	201	366
LJGBIDFA_00702	NODE_4_length_216101_cov_42.781506	75746	76915	+	1170	22	63	47	62	78	88	28	19	88	308	48	226	186	245	657	336	433	447	69	39	173	195	149	252	114	161	247	356	133	74	117	156	357	232	170	418	173	67	34	48	86	67	40	29	55	39	465	109	159	181	194	159	170	119	123
LJGBIDFA_00703	NODE_4_length_216101_cov_42.781506	77054	78511	+	1458	1059	1825	1907	1325	889	1086	1345	1955	2150	4783	1876	2301	1368	6505	8411	7575	8496	9164	683	1254	3536	3568	2224	4419	3353	4483	4552	5408	1633	1843	1243	2478	3513	2049	3340	3686	1784	984	847	956	655	654	486	577	1040	918	2173	873	1054	1609	1118	1382	494	272	850
LJGBIDFA_00704	NODE_4_length_216101_cov_42.781506	78508	78891	+	384	125	233	142	248	327	240	107	213	217	366	238	135	197	534	666	679	731	773	265	220	339	304	231	310	310	381	534	472	197	176	189	280	265	332	308	355	144	133	91	100	176	168	76	103	81	103	182	130	82	244	200	203	35	40	66
LJGBIDFA_00705	NODE_4_length_216101_cov_42.781506	78948	79859	-	912	189	322	368	394	468	498	224	350	272	827	475	488	1003	1290	1146	1203	1323	1548	237	319	735	687	801	742	576	757	1046	1149	481	328	513	583	755	485	413	806	441	319	325	267	358	333	216	199	237	299	686	314	402	829	826	971	340	159	351
LJGBIDFA_00706	NODE_4_length_216101_cov_42.781506	79958	80554	+	597	33	113	134	80	44	90	61	118	166	362	34	288	134	521	715	579	721	726	237	21	255	271	231	288	129	253	334	526	111	107	138	173	344	194	135	388	103	86	39	36	25	22	26	34	32	82	1002	317	336	417	338	382	217	233	270
LJGBIDFA_00707	NODE_4_length_216101_cov_42.781506	80611	81426	-	816	78	225	263	240	119	194	106	162	247	1030	66	599	191	1318	1567	1397	1676	2039	267	52	776	573	587	807	464	772	1009	1356	372	274	355	554	990	460	520	980	302	245	63	73	63	84	57	91	91	234	2241	552	857	840	656	893	473	390	952
LJGBIDFA_00708	NODE_4_length_216101_cov_42.781506	81568	82782	+	1215	132	304	782	366	381	340	131	151	324	3611	260	2828	4390	3213	1494	2154	2084	1739	290	766	2018	7167	5418	4141	6151	3299	4974	3398	2127	2326	2884	3525	2260	2597	2307	2700	2526	90	39	44	285	200	63	80	42	123	1422	702	592	1420	952	1009	3824	258	619
LJGBIDFA_00709	NODE_4_length_216101_cov_42.781506	82958	83680	+	723	16	43	24	122	172	139	29	31	18	312	34	325	378	235	205	303	204	210	368	102	187	190	358	239	145	191	171	183	171	59	179	190	308	262	95	179	123	56	37	17	106	115	62	36	28	34	336	107	121	131	181	241	48	73	79
LJGBIDFA_00710	NODE_4_length_216101_cov_42.781506	83772	84809	+	1038	9	35	24	65	44	62	27	25	46	223	7	171	109	218	337	195	243	351	117	26	130	100	129	152	107	158	191	269	83	57	61	115	252	112	155	220	45	66	29	20	43	26	12	12	27	55	504	162	159	85	100	127	129	81	208
LJGBIDFA_00711	NODE_4_length_216101_cov_42.781506	84832	86034	+	1203	39	37	45	41	21	75	28	36	67	152	36	183	60	210	270	237	317	334	35	41	134	107	103	147	81	166	185	230	51	81	65	92	204	101	83	219	45	61	55	74	22	29	12	17	26	21	598	185	274	158	116	221	156	141	190
LJGBIDFA_00712	NODE_4_length_216101_cov_42.781506	86028	87737	+	1710	27	100	45	54	28	57	34	54	98	273	66	203	85	319	427	314	427	547	98	53	234	170	151	197	133	165	353	414	95	54	88	142	420	157	229	358	107	62	48	47	48	52	18	36	47	67	1014	329	452	335	214	268	297	214	468
LJGBIDFA_00713	NODE_4_length_216101_cov_42.781506	87839	88993	+	1155	22	31	69	44	33	49	10	75	59	115	50	67	52	153	190	135	185	237	35	54	107	84	77	99	44	78	133	169	79	5	40	50	166	92	60	178	49	42	25	42	37	20	35	20	42	36	627	288	381	189	127	149	168	142	301
LJGBIDFA_00714	NODE_4_length_216101_cov_42.781506	89020	90207	+	1188	22	133	185	148	245	269	104	108	119	324	95	268	331	417	459	340	376	489	295	137	293	342	324	279	192	287	392	340	164	96	195	321	240	262	141	312	262	118	93	68	75	81	48	63	95	101	490	159	243	343	380	347	171	161	172
LJGBIDFA_00715	NODE_4_length_216101_cov_42.781506	90235	91050	+	816	51	134	70	188	174	199	46	75	139	326	91	252	294	413	362	323	328	453	188	129	364	270	322	311	299	272	283	265	223	80	155	239	236	287	96	241	140	51	52	50	72	123	58	74	32	90	331	132	123	299	269	242	119	116	116
LJGBIDFA_00716	NODE_4_length_216101_cov_42.781506	91273	92523	-	1251	375	1125	1043	1288	1186	1367	485	556	866	3110	370	2143	876	2925	2819	2745	2861	4753	173	365	5218	2672	2229	2269	5451	2795	3863	3183	1003	327	1013	1438	2009	1486	1469	1942	997	153	153	145	378	462	144	96	103	163	1037	508	874	719	447	629	353	275	550
LJGBIDFA_00717	NODE_4_length_216101_cov_42.781506	92585	93736	-	1152	264	935	978	1072	693	1154	537	492	738	3424	56	2841	326	2989	3670	3341	3800	8415	102	185	5086	2346	2023	2756	7217	2625	4976	4799	589	436	730	1503	2349	1086	1108	2115	756	79	50	34	184	152	87	36	50	87	1713	690	896	895	423	673	418	306	614
LJGBIDFA_00718	NODE_4_length_216101_cov_42.781506	94068	95285	+	1218	1042	3884	4477	4722	2943	4575	2090	2213	3140	13333	300	8482	1306	13056	12636	14166	15406	21262	152	553	13808	9520	6548	10109	19102	11109	15055	15195	2993	2592	3134	6523	7838	4332	4206	7464	3542	660	207	184	695	619	268	235	183	576	25593	6137	9177	10827	7164	9697	4669	3990	7536
LJGBIDFA_00719	NODE_4_length_216101_cov_42.781506	95466	96317	+	852	979	2899	2373	2414	1905	2474	1711	1818	2526	6806	1541	4045	2909	8967	10505	10819	11989	15276	1532	1652	6150	3973	4160	6147	4552	6058	8246	12042	1740	1279	1427	2430	5932	2420	3445	5487	1647	1302	934	882	1078	941	489	607	899	1105	10596	2231	2620	6266	4514	5652	1326	990	2342
LJGBIDFA_00720	NODE_4_length_216101_cov_42.781506	96383	97192	-	810	170	532	704	867	713	756	384	346	536	1811	192	1462	709	2889	4589	2811	3852	5210	275	245	2865	1726	1739	3187	3380	2440	3385	5109	621	404	421	1170	2844	1042	2152	3178	624	202	108	95	263	195	84	91	92	297	2263	599	706	929	518	669	388	384	733
LJGBIDFA_00721	NODE_4_length_216101_cov_42.781506	97414	98385	+	972	330	976	1266	1164	684	1087	639	615	830	6269	379	3080	614	7905	13642	9778	12488	16562	375	390	5755	4468	4382	8285	11856	8221	9702	14652	661	1926	304	2064	5403	1522	5013	6434	995	602	270	116	315	261	164	229	177	609	3877	1223	1477	1545	716	965	626	524	1334
LJGBIDFA_00722	NODE_4_length_216101_cov_42.781506	98424	99608	-	1185	113	285	409	448	337	449	232	231	352	1308	250	646	408	2758	5407	3449	4555	5414	477	263	1884	1009	1364	2722	1053	1920	2982	5218	383	321	223	368	2218	738	1400	2267	370	317	109	139	195	143	94	139	169	488	946	232	321	479	200	317	137	138	240
LJGBIDFA_00723	NODE_4_length_216101_cov_42.781506	99660	100502	-	843	183	383	467	663	742	607	266	312	383	1466	366	797	739	2464	3464	2773	3150	3958	484	276	1427	1102	1145	1619	831	1594	1979	3484	430	400	554	658	1679	842	1150	1727	464	413	238	203	385	387	160	124	154	384	1015	284	355	603	442	496	276	178	377
LJGBIDFA_00724	NODE_4_length_216101_cov_42.781506	100612	101817	-	1206	387	934	872	2554	3497	1966	296	456	623	2198	709	1336	944	2474	2400	2122	2088	2402	195	369	2191	1666	1833	1583	3425	1482	1998	1972	698	324	621	795	1089	1006	957	1299	706	325	168	128	1282	1213	315	183	213	306	1466	462	808	615	439	730	444	293	625
LJGBIDFA_00725	NODE_4_length_216101_cov_42.781506	101832	103355	-	1524	437	810	986	2279	2963	2507	590	394	786	2462	514	2048	967	2544	2151	2236	1785	2114	142	374	2564	1806	1602	1627	2541	1521	1997	2268	742	258	705	833	1350	1188	886	1521	680	229	124	133	994	996	263	142	144	329	2113	582	1153	871	659	939	440	340	815
LJGBIDFA_00726	NODE_4_length_216101_cov_42.781506	103417	104178	-	762	163	631	586	1520	1721	1317	287	184	402	1914	213	1466	488	1591	1706	1494	1439	1722	70	223	1478	1110	899	961	1812	959	1464	1657	359	127	421	597	998	631	580	1176	470	122	63	43	391	435	151	27	70	130	1464	518	727	675	437	591	421	253	482
LJGBIDFA_00727	NODE_4_length_216101_cov_42.781506	104208	104996	-	789	128	432	543	1126	1434	987	241	193	185	1628	113	1069	396	1473	1563	1397	1496	2133	42	208	1273	985	924	1029	2271	1199	1648	2041	393	165	363	697	1042	591	454	1115	344	71	85	69	406	362	105	60	100	112	977	337	545	585	442	493	249	152	343
LJGBIDFA_00728	NODE_4_length_216101_cov_42.781506	105308	106462	+	1155	176	474	631	895	838	719	379	275	401	1913	221	1243	286	2100	3053	2569	2725	4636	119	252	2451	1426	1481	1864	7448	2030	3708	4681	419	397	273	931	2580	771	1477	2959	542	164	119	90	324	325	107	58	101	195	1309	411	583	599	311	574	278	185	342
LJGBIDFA_00729	NODE_4_length_216101_cov_42.781506	106491	107804	+	1314	165	507	558	698	941	762	232	171	428	1454	197	999	375	1647	2773	1791	2110	3178	52	135	1549	974	954	1252	2889	1043	1915	2653	330	183	237	432	1693	677	772	2073	378	123	70	45	255	255	76	92	37	119	1154	354	546	499	345	437	196	238	429
LJGBIDFA_00730	NODE_4_length_216101_cov_42.781506	107852	108520	+	669	31	149	124	179	227	182	147	64	103	322	58	223	143	371	534	307	436	528	24	52	295	236	158	280	606	219	350	461	82	44	102	85	358	140	327	467	74	48	16	25	48	73	23	28	25	50	363	112	180	148	80	125	71	36	134
LJGBIDFA_00731	NODE_4_length_216101_cov_42.781506	108520	109173	+	654	44	132	87	186	254	175	40	57	91	292	58	180	114	374	489	294	395	551	23	49	247	259	220	257	495	244	351	371	51	0	92	78	276	144	173	369	100	29	28	27	74	79	31	39	12	28	402	110	173	103	64	103	91	66	85
LJGBIDFA_00732	NODE_4_length_216101_cov_42.781506	109210	110526	+	1317	104	226	241	252	321	339	203	163	285	748	153	605	489	917	1346	1020	1202	1330	123	163	658	527	524	584	404	558	657	931	371	167	418	482	833	504	480	915	317	154	100	151	153	148	65	86	121	139	1058	316	345	542	457	440	259	191	362
LJGBIDFA_00733	NODE_4_length_216101_cov_42.781506	110545	111762	+	1218	57	79	70	159	213	179	39	72	90	312	88	254	340	504	628	556	605	711	141	71	323	314	311	349	224	283	375	422	169	101	168	224	407	245	256	474	159	75	44	56	88	120	48	43	32	96	178	71	66	193	268	160	113	99	75
LJGBIDFA_00734	NODE_4_length_216101_cov_42.781506	111783	112217	-	435	91	197	287	443	315	404	109	162	160	982	85	601	358	1476	1339	1390	1357	1646	81	117	823	478	600	998	861	886	1048	1198	180	219	110	325	773	279	503	654	148	59	62	33	162	121	66	31	40	99	267	83	69	386	200	262	78	88	67
LJGBIDFA_00735	NODE_4_length_216101_cov_42.781506	112537	114339	+	1803	507	1175	1960	2032	1281	1886	1236	810	1727	5547	568	2512	1093	12242	17095	11837	16588	19973	326	625	7173	3717	3917	6985	9565	6356	9841	12974	787	1374	383	2002	9293	2139	5418	10660	1390	632	264	187	750	667	281	342	250	891	4367	1333	1602	2336	949	1433	628	369	1192
LJGBIDFA_00736	NODE_4_length_216101_cov_42.781506	114536	115339	+	804	245	630	868	969	773	1116	387	482	718	3966	761	2124	3203	7047	6074	6538	6801	7541	922	1160	4085	3391	4435	5060	5001	4836	4846	5913	1495	912	881	2517	4047	2051	2015	4242	1404	661	300	184	379	462	318	320	171	802	1804	758	767	1361	965	1045	254	317	564
LJGBIDFA_00737	NODE_4_length_216101_cov_42.781506	115401	118883	-	3483	16383	98918	55785	90650	85359	136494	22429	34034	39729	139993	11743	90553	65237	158989	71201	101885	60023	56676	29330	66281	52483	132016	64888	75407	79402	104908	81164	75609	150360	56280	193397	141617	83641	210294	88021	100577	163155	27673	26344	12030	10724	23123	19794	29739	15343	32283	90365	36430	88791	118454	122247	134321	68851	46315	58917
LJGBIDFA_00738	NODE_4_length_216101_cov_42.781506	119088	120029	+	942	128	599	529	967	954	1137	229	308	505	2207	368	1794	2189	1700	1870	1622	1687	1845	746	485	1074	1319	1427	1167	815	1160	1015	1279	1200	389	1328	1331	1194	1492	680	1217	872	782	634	263	520	557	431	736	435	1080	4228	1383	2239	1151	1035	1431	1328	1104	3531
LJGBIDFA_00739	NODE_4_length_216101_cov_42.781506	120280	121182	-	903	2321	9326	6734	9618	7705	12771	3080	3069	4195	28881	2040	19051	5428	14552	18959	24800	16924	17740	5527	3763	13750	22436	10329	15399	13173	19213	14085	16793	25992	9952	36592	25193	14217	37472	15799	17931	29130	13126	13533	7042	6360	11712	8997	12018	7636	13839	14098	4318	9971	7768	7147	13012	5598	3950	8849
LJGBIDFA_00740	NODE_4_length_216101_cov_42.781506	121179	123170	-	1992	6236	22818	16913	21484	15465	29700	6576	7692	11446	54102	3264	38390	7597	26886	30870	41762	30161	31024	13464	5637	35459	51354	27424	36580	35745	44727	31201	30211	52807	18162	60805	54892	26327	71391	30742	34685	51912	33942	28738	14315	12914	23631	19003	28872	17909	39973	44561	15934	33499	22007	21455	43016	15053	10869	27244
LJGBIDFA_00741	NODE_4_length_216101_cov_42.781506	123182	123985	-	804	3405	10557	9097	10011	7084	13682	4115	3970	6714	26257	1351	19572	3330	15376	14987	20484	15873	17713	6414	2197	17554	22551	12187	17334	15152	20872	14274	14587	22248	8259	26984	25195	11651	28970	14262	14992	22539	20763	14525	7046	6594	11999	9249	15776	9291	25458	25598	9414	19758	13891	12049	25472	8715	6003	15041
LJGBIDFA_00742	NODE_4_length_216101_cov_42.781506	123995	125596	-	1602	5110	18954	14521	18696	12972	20782	6436	7766	11452	44067	2515	26745	5214	29542	24668	37037	29615	33282	11914	3759	29343	41640	24432	28692	36361	39799	27909	26943	36020	15630	43118	41727	20509	50724	28404	30830	40279	35126	22558	11108	10842	18274	15251	22846	13263	39658	49967	18983	38409	28867	21771	47416	14635	9617	30390
LJGBIDFA_00743	NODE_4_length_216101_cov_42.781506	125621	126793	-	1173	2790	14465	10311	12324	7706	14564	4305	5203	8467	34759	1381	20052	3099	19395	16984	29196	20099	21717	6404	2311	19451	31108	16337	19143	24499	27916	21228	18265	30076	14115	35910	32068	16313	39358	23252	24588	35049	18822	12367	6606	6236	10051	8634	11412	6776	18625	30174	13017	25710	25153	17474	38072	9426	6323	20446
LJGBIDFA_00744	NODE_4_length_216101_cov_42.781506	126938	127555	+	618	9786	41143	17293	26498	26931	25626	10417	19990	19609	15826	1381	11373	1989	8038	7087	14107	7959	7576	5157	1888	6608	14116	7004	8823	11177	14125	8037	9717	17599	9790	24741	16425	7113	25033	10665	10712	19091	14888	12713	10427	11725	15677	10608	10803	8339	10196	15961	5995	10356	18001	21613	33740	4739	3500	9575
LJGBIDFA_00745	NODE_4_length_216101_cov_42.781506	127666	129360	+	1695	2359	16467	13194	8068	4066	13451	6260	7503	15113	30498	726	21191	1868	20585	17805	25659	18547	20623	4905	1325	9356	16795	7231	12730	11259	13743	10294	13550	17180	6676	24270	18067	8236	25531	12418	12228	15913	13111	5705	3263	3371	6065	5022	6759	4094	16383	134837	55008	77540	64215	43016	77031	30156	25203	68023
LJGBIDFA_00746	NODE_4_length_216101_cov_42.781506	129431	130102	+	672	329	1335	1265	1058	546	1480	520	716	1211	5047	203	3685	623	3556	3232	3758	3534	4237	1036	362	1526	2720	1313	2097	2202	2145	1618	2392	2741	1039	3655	2692	1366	3741	1647	2044	2707	2959	1275	575	831	1181	1106	1407	849	3716	34179	13897	22234	14310	9044	16663	8041	6476	18151
LJGBIDFA_00747	NODE_4_length_216101_cov_42.781506	130343	131629	+	1287	278	2012	1629	1163	727	1691	674	816	1288	7307	208	5333	1823	4298	4549	5238	4447	4889	1018	315	3397	5364	2826	4034	3668	4263	2965	3442	3710	1318	4187	4279	2111	5604	2163	2649	3111	3130	1367	501	703	888	1114	1610	861	4131	39626	14253	22781	11048	7451	14702	9050	6549	22745
LJGBIDFA_00748	NODE_4_length_216101_cov_42.781506	131675	132883	-	1209	125	510	475	343	174	460	305	256	491	2385	125	1656	454	1959	2395	2068	2647	3440	279	123	856	1034	460	982	796	979	906	1319	977	384	1410	946	662	1418	677	851	1004	2120	853	326	338	449	557	1129	476	3050	33746	13231	24657	7234	5566	11068	10188	7457	25567
LJGBIDFA_00749	NODE_4_length_216101_cov_42.781506	133025	133930	+	906	46	277	256	170	196	316	181	138	306	748	141	430	464	862	1004	738	1048	1410	519	196	388	288	419	408	164	252	426	508	291	198	326	320	460	451	288	422	277	626	251	110	200	122	144	319	193	886	15477	6759	11832	2814	2342	4559	5054	3818	12059
LJGBIDFA_00750	NODE_4_length_216101_cov_42.781506	133932	134222	-	291	7	43	13	15	16	19	16	12	27	74	13	52	61	132	125	83	120	172	167	33	38	31	51	37	11	19	53	71	19	5	34	52	67	64	35	38	24	101	43	18	28	19	11	55	28	177	4053	1896	2824	476	331	906	1304	1060	3448
LJGBIDFA_00751	NODE_4_length_216101_cov_42.781506	134351	134497	-	147	12	19	9	16	49	14	17	27	8	67	34	36	88	111	114	76	96	139	612	54	51	22	118	66	9	34	39	64	28	18	48	24	108	64	49	53	27	41	28	15	36	39	13	28	30	96	2020	733	1601	208	194	414	692	486	1534
LJGBIDFA_00752	NODE_4_length_216101_cov_42.781506	135192	135335	+	144	1013	3408	1071	1903	2772	1419	776	2875	1522	816	2430	524	1885	713	316	648	589	630	91	2485	1377	1003	1221	606	2080	1586	2123	808	1380	1174	1571	1057	530	1057	737	853	1386	1311	1249	1376	2406	1614	849	1031	1510	665	1023	780	1196	2774	2991	3092	380	207	507
